index,category,theme,text,why_important,metrics_impact,negative_for_business,business_metrics
0,Люди,Agile-мышление,"Команда формулирует цель спринта как измеримый результат или ценность для пользователя, а не как список задач. Пояснение: команда понимает, какой эффект создаёт для пользователя или бизнеса, а не просто выполняет задачи; у цели есть понятный критерий успеха. Пример: не «сделать 5 задач», а «ускорить поиск товара для пользователя».","Фокусирует работу команды на результате, а не на механическом закрытии задач.","Достижение цели спринта, поставленная бизнес-ценность","Спринты завершаются без достижения бизнес-результата, растёт доля работы без ценности для клиента.","Влияние на бизнес при ответе «Да»: Sprint Goal Success Rate или доля задач, давших измеримую клиентскую ценность. Для карточного продукта как бизнес-эффект второго уровня можно отслеживать Feature Adoption Rate или Time to First Transaction по изменениям, вошедшим в спринт. Команды, которые придерживаются этой практики, в среднем демонстрируют указанные эффекты в рамках продукта. (На примере анализа данных из Citibank, Deutsche Bank.)"
1,Люди,Agile-мышление,"Команда использует цель спринта при принятии решений о приоритетах и изменениях в течение спринта. Пояснение: при любых изменениях команда сверяется с целью и оценивает, помогает ли это её достижению. Пример: новая задача добавляется только если она не мешает цели спринта.",Помогает сохранять фокус и не распыляться на несвязанные задачи.,"Время цикла, стабильность объёма, достижение цели спринта","Растёт объём незапланированной работы, увеличивается Cycle Time, падает вероятность достижения цели спринта.","Влияние на бизнес при ответе «Да»: Lead Time for Change и доля релизов, связанных с целью спринта. Если цель спринта затрагивает клиентский путь, бизнес-метрикой второго уровня могут быть Approved to Activated Rate или First Transaction Rate. Команды, которые придерживаются этой практики, в среднем демонстрируют указанные эффекты в рамках продукта. (На примере анализа данных из Citibank, Deutsche Bank.)"
2,Люди,Agile-мышление,"Команда использует продуктовые данные и метрики при обсуждении задач, решений и приоритетов. Пояснение: решения принимаются на основе данных, а не только мнений. Пример: перед изменением функции команда смотрит на метрики и влияние на конверсию.","Позволяет выбирать работу по ожидаемому эффекту, а не по мнению самого громкого заказчика или владельца продукта.","Внедрение эпиков и историй, конверсия, влияние на выручку, удержание","Эпики и истории реализуются без измеримого эффекта, замедляется рост продуктовых и бизнес-метрик.","Влияние на бизнес при ответе «Да»: Доля решений, принятых на основе данных, Feature Adoption Rate и Conversion to Key Action. Для карточного или кредитного продукта следующим уровнем могут быть Retention Rate, Active Cards Rate или конверсия в целевое действие. Команды, которые придерживаются этой практики, в среднем демонстрируют указанные эффекты в рамках продукта. (На примере анализа данных из Citibank, Deutsche Bank.)"
3,Люди,Кросс-функциональность,"Команда поддерживает в актуальном состоянии информацию о навыках участников (например, матрицу компетенций). Пояснение: команда понимает, кто какими навыками обладает, и регулярно обновляет эту информацию. Пример: матрица компетенций обновляется раз в квартал.",Даёт прозрачность по доступной экспертизе и помогает управлять рисками знания.,"Зависимость от ключевых людей, время реализации изменений, риск поставки","Критичные задачи задерживаются из-за того, что нужная экспертиза неизвестна или недоступна.","Влияние на бизнес при ответе «Да»: Lead Time for Change, доля задач без resource bottleneck и время вывода изменений. Для банковского продукта бизнес-эффект второго уровня — более быстрый запуск карточных или кредитных фич и рост Activation Rate. Команды, которые придерживаются этой практики, в среднем демонстрируют указанные эффекты в рамках продукта. (На примере анализа данных из Citibank, Deutsche Bank.)"
4,Люди,Кросс-функциональность,"В команде регулярно происходит передача знаний между участниками. Пояснение: знания не остаются у отдельных людей, а распространяются внутри команды. Пример: парная работа, код-ревью, внутренние доклады.",Снижает зависимость от отдельных экспертов и повышает устойчивость команды.,"Время восстановления, непрерывность разработки, зависимость от ключевых людей",Отсутствие одного специалиста резко увеличивает время решения проблем и может останавливать поставку.,"Влияние на бизнес при ответе «Да»: Bus Factor, Defect Rate и стабильность поставки. Для карточного направления вторым уровнем можно отслеживать Active Cards Rate, Transaction Success Rate или Retention после релизов. Команды, которые придерживаются этой практики, в среднем демонстрируют указанные эффекты в рамках продукта. (На примере анализа данных из Citibank, Deutsche Bank.)"
5,Люди,Кросс-функциональность,"Ключевые компетенции в команде покрыты более чем одним участником. Пояснение: нет зависимости от одного человека — есть взаимозаменяемость. Пример: если один специалист отсутствует, другой может продолжить работу.","Снижает операционные риски и делает команду менее уязвимой к отпуску, болезни или уходу сотрудника.","Риск поставки, время реализации изменений, пропускная способность команды",Уход или недоступность одного человека приводит к срыву сроков и падению пропускной способности команды.,"Влияние на бизнес при ответе «Да»: Change Failure Rate, MTTR и устойчивостью поставки, а не сразу с финансовым результатом. Для банка дальним бизнес-эффектом может быть снижение потерь от инцидентов и стабильность клиентской активности. Команды, которые придерживаются этой практики, в среднем демонстрируют указанные эффекты в рамках продукта. (На примере анализа данных из Citibank, Deutsche Bank.)"
6,Люди,Вовлеченность команды,Команда самостоятельно принимает большинство технических решений в рамках своей зоны ответственности. Пояснение: команда сама обсуждает и принимает решения без постоянной зависимости от внешних ролей. Пример: команда выбирает техническое решение без обязательного согласования с архитектором.,Ускоряет работу и повышает ответственность за результат.,"Время реализации изменений, время принятия решений","Решения задерживаются из-за лишних согласований, скорость поставки падает.","Влияние на бизнес при ответе «Да»: Decision Latency, Lead Time for Change и Deployment Frequency. Если команда влияет на клиентский путь, как бизнес-метрики второго уровня подойдут Time to First Transaction или First Transaction Rate. Команды, которые придерживаются этой практики, в среднем демонстрируют указанные эффекты в рамках продукта. (На примере анализа данных из Citibank, Deutsche Bank.)"
7,Люди,Вовлеченность команды,"Команда выполняет большинство action items, принятых на ретроспективах. Пояснение: договорённости с ретроспектив реально внедряются в работу.","Показывает, что команда реально улучшает процесс, а не просто обсуждает проблемы.","Темп улучшения процессов, время цикла, частота дефектов","Одни и те же проблемы повторяются, процессы не улучшаются, потери времени и дефекты сохраняются.","Влияние на бизнес при ответе «Да»: Action Item Closure Rate, Rework Rate и Defect Escape Rate. Команды, которые придерживаются этой практики, в среднем демонстрируют указанные эффекты в рамках продукта. (На примере анализа данных из Citibank, Deutsche Bank.)"
8,Люди,Вовлеченность команды,"Команда понимает цели своей работы на уровне спринта, квартала или продукта и может их объяснить. Пояснение: участники видят связь между своей работой и целями продукта. Пример: разработчик может объяснить, как его задача влияет на продуктовую цель.",Связывает ежедневную работу команды с ожидаемым результатом для бизнеса.,"Поставленная бизнес-ценность, согласованность целей, достижение цели спринта","Команда закрывает задачи без понимания их ценности, ресурсы тратятся на низкоприоритетную работу.","Влияние на бизнес при ответе «Да»: Goal Alignment Rate и долей задач, связанных с OKR или North Star Metric продукта. Как второй уровень можно отслеживать Feature Adoption, Conversion to Key Action или Active Cards Rate. Команды, которые придерживаются этой практики, в среднем демонстрируют указанные эффекты в рамках продукта. (На примере анализа данных из Citibank, Deutsche Bank.)"
9,Люди,Автономия в принятии решений,"Команда самостоятельно распределяет задачи между участниками с учётом загрузки и контекста. Пояснение: задачи распределяются внутри команды, а не назначаются сверху. Пример: команда договаривается, кто берёт задачи на спринт.",Позволяет гибко управлять работой и быстрее реагировать на изменения.,"Время цикла, пропускная способность, старение незавершённой работы","Задачи распределяются неэффективно, часть людей перегружена, часть недозагружена, сроки растут.","Влияние на бизнес при ответе «Да»: Throughput, Flow Efficiency и Cycle Time. Для карточного продукта бизнес-эффект второго уровня — более быстрый вывод изменений, влияющих на Active Cards Rate или Monthly Spend per Card. Команды, которые придерживаются этой практики, в среднем демонстрируют указанные эффекты в рамках продукта. (На примере анализа данных из Citibank, Deutsche Bank.)"
