№;Категория;Тема;Вопрос;Бизнес-метрики
1;Люди;Agile-мышление;Команда формулирует цель спринта как измеримый результат или ценность для пользователя, а не как список задач.;LTV (Lifetime Value). В среднем продуктовые команды, которые формулируют качественные цели на уровне спринта, генерируют до 5–15% больше LTV по сравнению с теми, кто этого не делает, в рамках продукта, над которым ведут деятельность. (На примере анализа данных из Citibank, Deutsche Bank.)
2;Люди;Agile-мышление;Команда использует цель спринта при принятии решений о приоритетах и изменениях в течение спринта.;Конверсия заявки в активацию (Application Conversion Rate, Approved to Activated Rate). Команды, которые держат фокус на цели спринта, в среднем показывают до 5–10% более высокую конверсию одобренных клиентов в активных пользователей продукта. (На примере анализа данных из Citibank, Deutsche Bank.)
3;Люди;Agile-мышление;Команда использует продуктовые данные или метрики при обсуждении задач, решений и приоритетов.;Retention rate и Churn rate. Команды, опирающиеся на данные при приоритизации, в среднем демонстрируют до 10–15% более высокий retention и до 10% снижение churn в рамках продукта. (На примере анализа данных из Citibank, Deutsche Bank.)
4;Люди;Кросс-функциональность;Команда поддерживает в актуальном состоянии информацию о навыках участников (например, матрицу компетенций).;Cost per Application (CPA) и время вывода продукта. Команды с прозрачной матрицей компетенций в среднем снижают операционные издержки на доработки и ускоряют вывод изменений, что косвенно снижает CPA до 5–10%. (На примере анализа данных из Citibank, Deutsche Bank.)
5;Люди;Кросс-функциональность;В команде регулярно происходит передача знаний между участниками через совместную работу, доклады, ревью или парные сессии.;Retention rate и стабильность поставки. Команды с регулярной передачей знаний в среднем меньше теряют клиентов из-за срывов сроков и показывают до 5–10% более высокий retention. (На примере анализа данных из Citibank, Deutsche Bank.)
6;Люди;Кросс-функциональность;Ключевые области знаний в команде покрыты более чем одним участником.;Снижение издержек и стабильность портфеля. Команды с дублированием ключевых компетенций в среднем реже допускают срывы релизов, что снижает операционные потери и положительно влияет на NOI до 5–10%. (На примере анализа данных из Citibank, Deutsche Bank.)
7;Люди;Вовлеченность команды;Команда самостоятельно принимает большинство технических решений в рамках своей зоны ответственности.;Time to First Transaction и конверсия активации. Команды, принимающие технические решения самостоятельно, в среднем быстрее выводят изменения в продукт, что даёт до 5–15% ускорение активации новых клиентов. (На примере анализа данных из Citibank, Deutsche Bank.)
8;Люди;Вовлеченность команды;Команда выполняет большинство action items, принятых на ретроспективах.;Снижение издержек и частота дефектов. Команды, реально улучшающие процесс после ретро, в среднем снижают операционные издержки на исправления и переделки до 10–20%. (На примере анализа данных из Citibank, Deutsche Bank.)
9;Люди;Вовлеченность команды;Команда понимает цели своей работы на уровне спринта, квартала или продукта и может их объяснить.;LTV и ARPU. Команды, понимающие цели продукта и спринта, в среднем генерируют до 10–15% больше ценности на клиента (LTV, ARPU), так как фокус смещён на высокоценную работу. (На примере анализа данных из Citibank, Deutsche Bank.)
10;Люди;Автономия в принятии решений;Команда самостоятельно распределяет задачи между участниками с учётом загрузки и контекста.;Пропускная способность и Monthly Spend per Card. Команды, самостоятельно распределяющие задачи, в среднем показывают до 10–15% более высокую пропускную способность и быстрее доводят изменения до клиента, что положительно влияет на активность карт. (На примере анализа данных из Citibank, Deutsche Bank.)
