Тема	Вопрос	Почему это важно	Метрики влияния	Негатив для бизнеса
Agile-мышление	Команда формулирует цель спринта как измеримый результат или ценность для пользователя, а не как список задач.	Фокусирует работу команды на результате, а не на механическом закрытии задач.	Достижение цели спринта, поставленная бизнес-ценность	Спринты завершаются без достижения бизнес-результата, растёт доля работы без ценности для клиента.
Agile-мышление	Команда использует цель спринта при принятии решений о приоритетах и изменениях в течение спринта.	Помогает сохранять фокус и не распыляться на несвязанные задачи.	Время цикла, стабильность объёма, достижение цели спринта	Растёт объём незапланированной работы, увеличивается Cycle Time, падает вероятность достижения цели спринта.
Agile-мышление	Команда использует продуктовые данные или метрики при обсуждении задач, решений и приоритетов.	Позволяет выбирать работу по ожидаемому эффекту, а не по мнению самого громкого заказчика или владельца продукта.	Внедрение эпиков и историй, конверсия, влияние на выручку, удержание	Эпики и истории реализуются без измеримого эффекта, замедляется рост продуктовых и бизнес-метрик.
Кросс-функциональность	Команда поддерживает в актуальном состоянии информацию о навыках участников (например, матрицу компетенций).	Даёт прозрачность по доступной экспертизе и помогает управлять рисками знания.	Зависимость от ключевых людей, время реализации изменений, риск поставки	Критичные задачи задерживаются из-за того, что нужная экспертиза неизвестна или недоступна.
Кросс-функциональность	В команде регулярно происходит передача знаний между участниками через совместную работу, доклады, ревью или парные сессии.	Снижает зависимость от отдельных экспертов и повышает устойчивость команды.	Время восстановления, непрерывность разработки, зависимость от ключевых людей	Отсутствие одного специалиста резко увеличивает время решения проблем и может останавливать поставку.
Кросс-функциональность	Ключевые области знаний в команде покрыты более чем одним участником.	Снижает операционные риски и делает команду менее уязвимой к отпуску, болезни или уходу сотрудника.	Риск поставки, время реализации изменений, пропускная способность команды	Уход или недоступность одного человека приводит к срыву сроков и падению пропускной способности команды.
Вовлеченность команды	Команда самостоятельно принимает большинство технических решений в рамках своей зоны ответственности.	Ускоряет работу и повышает ответственность за результат.	Время реализации изменений, время принятия решений	Решения задерживаются из-за лишних согласований, скорость поставки падает.
Вовлеченность команды	Команда выполняет большинство action items, принятых на ретроспективах.	Показывает, что команда реально улучшает процесс, а не просто обсуждает проблемы.	Темп улучшения процессов, время цикла, частота дефектов	Одни и те же проблемы повторяются, процессы не улучшаются, потери времени и дефекты сохраняются.
Вовлеченность команды	Команда понимает цели своей работы на уровне спринта, квартала или продукта и может их объяснить.	Связывает ежедневную работу команды с ожидаемым результатом для бизнеса.	Поставленная бизнес-ценность, согласованность целей, достижение цели спринта	Команда закрывает задачи без понимания их ценности, ресурсы тратятся на низкоприоритетную работу.
Автономия в принятии решений	Команда самостоятельно распределяет задачи между участниками с учётом загрузки и контекста.	Позволяет гибко управлять работой и быстрее реагировать на изменения.	Время цикла, пропускная способность, старение незавершённой работы	Задачи распределяются неэффективно, часть людей перегружена, часть недозагружена, сроки растут.
Автономия в принятии решений	Команда участвует в обсуждении и уточнении приоритетов задач вместе с владельцем продукта и менеджером продукта (dPO).	Позволяет учитывать технические риски, зависимости и реальную стоимость реализации.	Предсказуемость поставки, время реализации изменений	В работу попадают задачи с нереалистичными сроками или высоким техническим риском.
Автономия в принятии решений	Команда принимает операционные решения по работе без обязательного утверждения менеджером продукта (dPO) или техническим лидером в каждом случае.	Сокращает время на согласования и ускоряет выполнение работы.	Время принятия решений, скорость поставки	Каждое изменение или решение тормозится согласованиями с менеджером продукта (dPO) или техническим лидером, скорость команды падает.
Обучение и передача знаний	В команде регулярно проходят активности по обмену знаниями: внутренние доклады, демонстрации, разборы решений или парная работа.	Повышает общий уровень экспертизы и помогает быстрее масштабировать знания.	Зависимость от ключевых людей, эффективность разработки, время онбординга	Команда медленнее учится, новые сотрудники дольше входят в работу, экспертиза концентрируется у немногих.
Обучение и передача знаний	В рабочем процессе команды выделяется время на обучение и развитие компетенций.	Позволяет поддерживать актуальность навыков и осваивать новые подходы без перегрузки.	Продуктивность разработки, метрики качества, время внедрения новых технологий	Команда устаревает по компетенциям, хуже адаптируется к новым требованиям и технологиям.
Обучение и передача знаний	Ключевые знания внутри команды распределены между несколькими участниками, а не сосредоточены у одного эксперта.	Снижает риск блокировки работы и делает команду устойчивее.	Время выполнения, риск поставки, зависимость от ключевых людей	Один узкий эксперт становится точкой отказа, и работа команды зависит от его доступности.
Культура обратной связи	Участники команды регулярно дают друг другу конструктивную обратную связь по работе и взаимодействию.	Помогает быстрее замечать проблемы и усиливать сильные стороны команды.	Вовлечённость сотрудников, результативность команды, дефекты ушедшие в прод	Ошибки в коммуникации и качестве работы накапливаются, вовлечённость и результативность снижаются.
Культура обратной связи	В команде есть регулярные форматы для обратной связи, например ретроспективы, peer review или 1:1.	Делает обратную связь системной, а не случайной.	Удовлетворённость сотрудников, удержание, темп улучшения процессов	Проблемы обсуждаются эпизодически, важные сигналы теряются, растёт риск конфликтов и выгорания.
Культура обратной связи	Команда использует обратную связь для изменения поведения, процесса или подходов к работе.	Показывает, что обратная связь превращается в улучшения, а не остаётся словами.	Эффективность процессов, результативность команды, вовлечённость сотрудников	Обратная связь не приводит к изменениям, поэтому проблемы повторяются и демотивируют команду.
Лидерство в команде	Участники команды берут на себя лидерство в отдельных вопросах или инициативах в зависимости от экспертизы.	Распределённое лидерство повышает устойчивость и скорость принятия решений.	Время принятия решений, автономия команды, стабильность поставки	Все сложные вопросы стекаются к одному человеку, что создаёт узкое место и тормозит команду.
Лидерство в команде	Разные участники команды ведут встречи, инициативы или рабочие обсуждения, а не один и тот же человек всегда.	Развивает лидерские навыки и снижает зависимость команды от одного ведущего (скрам-мастера или менеджера продукта).	Автономия команды, рост сотрудников, эффективность встреч	Команда остаётся зависимой от одного ведущего, хуже масштабируется и медленнее развивается.
Лидерство в команде	Команда способна самоорганизоваться и распределить ответственность в сложной или нестандартной ситуации.	Показывает зрелость команды и её способность сохранять результат при изменениях или кризисе.	Стабильность поставки, время реакции на инциденты, устойчивость команды	В нестабильных ситуациях команда теряет темп, растёт время реакции на инциденты и риск срыва поставки.
Цели команды и стрима	Команда знает цели стрима (их задаёт владелец Стрима) и может сформулировать их без обращения к внешнему источнику.	Обеспечивает связь работы команды со стратегическим направлением.	Согласованность целей, выполнение стратегии	Команда работает в отрыве от стратегии, ресурсы могут тратиться на второстепенные задачи.
Цели команды и стрима	Команда формирует свои цели так, чтобы они были явно связаны с целями стрима.	Позволяет декомпозировать стратегию до уровня конкретной команды.	Поставленная бизнес-ценность, согласованность целей	Командные цели не поддерживают стратегические результаты, снижается управляемость изменений.
Цели команды и стрима	Команда регулярно отслеживает прогресс по своим целям и обсуждает отклонения.	Позволяет вовремя замечать проблемы и менять план действий.	Достижение целей, предсказуемость поставки	Проблемы становятся заметны слишком поздно, цели не достигаются в срок.
Управление рисками	Команда выявляет риски до начала реализации задач, инициатив или изменений.	Позволяет снижать вероятность срывов и неожиданных блокеров.	Риск поставки, время выполнения, предсказуемость релизов	Критичные проблемы обнаруживаются поздно, сроки сдвигаются, стоимость исправлений растёт.
Управление рисками	Команда фиксирует выявленные риски в явном виде: в реестре, бэклоге, доске или ином рабочем инструменте.	Делает риски видимыми и управляемыми, а не зависящими от памяти отдельных людей.	Рисковая экспозиция, стабильность поставки	Риски забываются или игнорируются, из-за чего команда повторно сталкивается с одними и теми же проблемами.
Управление рисками	Для значимых рисков команда определяет стратегию управления и действия по снижению последствий.	Позволяет не просто видеть риск, а управлять его вероятностью и влиянием.	Стабильность поставки, частота инцидентов, успешность релизов	Риски реализуются без подготовки, увеличивается число срывов сроков, инцидентов и неуспешных релизов.
Оценка	Оценку задач делает команда совместно с менеджером продукта (dPO) и техническим лидером, а не один человек в одиночку.	Повышает качество оценки за счёт коллективной экспертизы и общего понимания объёма работы.	Точность оценок, предсказуемость поставки	Оценки становятся субъективными, растёт число промахов по срокам и объёму.
Оценка	Команда оценивает задачу целиком, включая зависимости, тестирование, интеграции и скрытую работу, а не только «свою часть».	Позволяет получать реалистичную оценку полного объёма работ.	Точность оценок, доля переноса задач, время выполнения	Задачи системно недооцениваются, увеличивается перенос работ и снижается предсказуемость.
